PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
-	-9	com.apple.progressd
48273	-9	com.apple.cloudphotod
84326	-9	com.apple.MENotificationService
622	0	com.apple.Finder
426	0	com.apple.homed
10518	-9	com.apple.dataaccess.dataaccessd
-	-9	com.apple.SafeEjectGPUAgent
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
499	0	com.apple.mediaremoteagent
465	0	com.apple.FontWorker
539	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
-	-9	com.apple.knowledgeconstructiond
19522	-9	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
24349	0	application.com.brave.Browser.71814833.71816120
-	78	com.VersionValidation.app
-	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
439	0	com.apple.nsurlsessiond
1230	-9	com.apple.devicecheckd
83744	0	application.com.apple.TextEdit.1152921500311905972.1152921500311905977
88419	0	application.com.apple.ScreenContinuity.1152921500311912978.1152921500311913135
-	0	com.apple.syncservices.uihandler
411	0	com.apple.iconservices.iconservicesagent
-	-9	com.apple.diagnosticextensionsd
43322	-9	com.apple.intelligenceplatformd
18916	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	-9	com.apple.LinkedNotesUIService
45941	-9	com.apple.ndoagent
625	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
-	-9	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
17179	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
21537	0	com.ginie.superloop
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
47831	-9	com.apple.ManagedSettingsAgent
10473	-4	com.apple.photolibraryd
93156	0	application.com.apple.systempreferences.1152921500311901956.1152921500311901961
-	0	com.docker.helper
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
-	-9	com.apple.ThreadCommissionerService
18081	0	com.apple.tipsd
16410	0	application.com.apple.Notes.1152921500311893562.1152921500311893567
-	0	com.apple.stickersd
490	0	com.apple.bluetoothuserd
-	78	com.untidal.app
-	0	com.apple.timezoneupdates.tznotify
614	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
17530	0	com.apple.assistant_service
-	0	com.apple.MRTa
75029	-9	com.apple.CommCenter
81265	0	com.apple.mdworker.shared.01000000-0300-0000-0000-000000000000
410	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
81765	0	com.apple.mdworker.shared.0A000000-0200-0000-0000-000000000000
-	0	com.apple.appkit.xpc.ColorSampler
291	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
78435	0	com.apple.CoreDevice.remotepairingd
32002	-9	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.AutoFillPanel
56364	0	com.apple.peopled
55145	0	application.net.whatsapp.WhatsApp.84816674.84816680
-	126	com.ginie.novalearn
80136	-9	com.apple.replicatord
48659	-9	com.apple.keyboardservicesd
50770	-9	com.apple.accessibility.axassetsd
-	0	com.gini.flytt
637	0	com.apple.quicklook.ThumbnailsAgent
85903	-9	com.apple.Safari.PasswordBreachAgent
-	0	com.apple.csuseragent
-	0	com.apple.asktod
416	0	com.apple.WindowManager.agent
444	0	com.apple.ContextStoreAgent
-	0	com.apple.AOSPushRelay
-	0	com.apple.accessibility.AXVisualSupportAgent
-	0	com.apple.xpc.loginitemregisterd
-	0	com.thermotaxic.ov.app
-	-9	com.apple.webprivacyd
55162	0	com.apple.applespell
-	0	com.apple.coreservices.UASharedPasteboardProgressUI
-	0	com.ginie.bootstrap.refresh
-	0	com.apple.uarppersonalizationd
458	0	com.apple.screensharing.menuextra
-	0	com.apple.warmd_agent
48155	-9	com.apple.managedcorespotlightd.2C8953F3-1861-ED8A-6444-289B27B3C534
-	-9	com.apple.voicebankingd
-	0	com.apple.universalaccesscontrol
92882	0	com.apple.Safari.SafeBrowsing.Service
-	0	com.apple.notes.exchangenotesd
-	0	com.apple.findmymacmessenger
47710	0	application.com.apple.reminders.1152921500311897773.1152921500311897782
-	0	com.apple.FilesystemUI
-	0	com.apple.maps.destinationd
432	0	com.apple.ScreenTimeAgent
-	0	com.apple.pluginkit.pkreporter
-	0	com.apple.systemprofiler
-	0	com.apple.homeenergyd
414	0	com.apple.cloudd
91989	-9	com.apple.noticeboard.agent
18450	0	com.apple.UserNotificationCenterAgent
-	-9	com.apple.cmfsyncagent
-	0	com.apple.dt.CommandLineTools.installondemand
-	0	com.apple.ATS.FontValidator
612	0	com.apple.diagnostics_agent
-	0	com.apple.appleseed.seedusaged
-	-9	com.apple.LocalAuthentication.UIAgent
-	-9	com.apple.ap.adprivacyd
-	-9	com.apple.ap.promotedcontentd
-	-9	com.apple.apfsuseragent
510	0	com.apple.networkserviceproxy
616	0	com.apple.controlcenter
21447	0	com.apple.AMPLibraryAgent
35681	0	com.openssh.ssh-agent
-	0	com.apple.atsd
1231	-9	com.apple.amsondevicestoraged
-	-9	com.apple.tonelibraryd
12733	-9	com.apple.CloudPhotosConfiguration
-	0	com.apple.security.KeychainStasher
-	-9	com.apple.ctcategories.service
450	0	com.apple.ctkd
-	0	com.apple.package-script-service
435	0	com.apple.secinitd
-	0	com.apple.speech.speechsynthesisd.x86_64
81516	0	com.apple.mdworker.shared.0F000000-0400-0000-0000-000000000000
48221	-9	com.apple.contacts.donation-agent
-	0	com.apple.ServicesUIAgent
6920	0	com.apple.synapse.contentlinkingd
-	-9	com.apple.XprotectFramework.PluginService
-	0	com.apple.ctkbind
-	0	com.apple.mediastream.mstreamd
-	0	com.apple.alf.useragent
-	127	UMr1n
-	0	com.apple.SiriTTSTrainingAgent
77881	-9	com.apple.triald
-	127	com.ginie.dashboard
403	0	com.apple.tccd
